repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,5,2
data-service-landscape-scan,Google,1,1
data-viz-challenge,Google,2,1
figstats,Bing,1,1
github-stats,github.com,2,1
LD-Cool-P,Google,14,3
LD-Cool-P,github.com,3,2
LD-Cool-P,DuckDuckGo,1,1
ldcoolp-figshare,Google,6,2
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,2,1
ReBACH,github.com,1,1
ReM,gist.github.com,5,4
ReM,github.com,1,1
ReQUIAM,github.com,7,3
ReQUIAM,Google,2,2
uptime,github.com,4,2
