repository_name,date,views,unique_visitors/cloners
github-stats,2021-04-23,55,1
github-stats,2021-04-25,5,1
github-stats,2021-04-26,3,2
github-stats,2021-04-27,27,1
github-stats,2021-04-29,2,1
redata-commons,2021-04-19,15,2
redata-commons,2021-04-20,84,3
redata-commons,2021-04-22,4,2
redata-commons,2021-04-26,8,2
redata-commons,2021-04-27,6,2
ReDATA_README_Tool,2021-04-19,22,2
ReDATA_README_Tool,2021-04-20,1,1
ReDATA_README_Tool,2021-04-21,5,1
ReDATA_README_Tool,2021-04-26,5,1
ReDATA_README_Tool,2021-04-28,28,1
ReDATA_README_Tool,2021-04-29,14,1
ReDATA_README_Tool,2021-04-30,33,1
ReQUIAM,2021-04-19,84,2
ReQUIAM,2021-04-20,75,3
ReQUIAM,2021-04-21,3,1
ReQUIAM,2021-04-22,14,1
ReQUIAM,2021-04-23,8,2
ReQUIAM,2021-04-26,69,2
ReQUIAM,2021-04-27,64,2
ReQUIAM,2021-04-29,1,1
ReQUIAM_csv,2021-04-19,23,1
ReQUIAM_csv,2021-04-20,16,2
ReQUIAM_csv,2021-04-24,2,1
ReQUIAM_csv,2021-04-27,21,1
UAL-ODIS,2021-04-26,17,2
UAL-ODIS,2021-04-27,2,1
uptime,2021-04-21,6,1
uptime,2021-04-23,22,2
uptime,2021-04-28,3,1
