repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,1,1
figstats,github.com,4,1
github-stats,github.com,1,1
LD-Cool-P,Google,8,3
LD-Cool-P,github.com,3,1
ldcoolp-figshare,github.com,2,1
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,1,1
ReBACH,github.com,2,1
redata-commons,github.com,3,1
redata-docs,github.com,2,1
redata-iac,github.com,2,1
ReM,gist.github.com,6,5
ReM,github.com,3,1
ReQUIAM,github.com,8,2
ReQUIAM,Google,1,1
ReQUIAM,teams.microsoft.com,1,1
ReQUIAM_csv,github.com,4,2
