repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2022-10-23,1,1
github-stats,2022-10-25,1,1
github-stats,2022-11-01,1,1
LD-Cool-P,2022-10-25,2,1
LD-Cool-P,2022-10-26,1,1
ReBACH,2022-10-25,3,1
ReBACH,2022-10-30,2,2
ReBACH,2022-10-31,1,1
ReBACH,2022-11-01,14,3
ReBACH,2022-11-02,2,2
ReBACH,2022-11-05,1,1
redata-commons,2022-10-24,3,1
redata-commons,2022-10-25,1,1
redata-commons,2022-11-01,3,1
redata-iac,2022-10-25,4,1
redata-landing-page,2022-10-25,7,2
redata-landing-page,2022-10-26,3,1
redata-landing-page,2022-10-27,1,1
ReQUIAM,2022-11-01,4,2
ReQUIAM,2022-11-02,1,1
ReQUIAM_csv,2022-10-31,1,1
