repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,9,4
data-viz-challenge,github.com,7,2
data-viz-challenge,Google,1,1
data-viz-evaluations,github.com,8,2
figstats,github.com,3,1
github-stats,github.com,7,1
LD-Cool-P,github.com,6,1
LD-Cool-P,Google,2,2
ldcoolp-figshare,github.com,3,1
ldcoolp-figshare,readthedocs.org,1,1
ReBACH,github.com,4,1
redata-commons,github.com,3,1
redata-commons,Google,1,1
redata-docs,github.com,2,1
redata-iac,github.com,5,1
ReM,github.com,7,2
ReM,gist.github.com,2,2
ReQUIAM,github.com,3,1
ReQUIAM_csv,github.com,6,2
slacking,github.com,3,1
UAL-RE,github.com,2,1
uptime,github.com,8,1
uptime,ual-re.github.io,2,1
