repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2022-10-07,2,1
github-stats,2022-10-06,1,1
LD-Cool-P,2022-10-06,11,3
LD-Cool-P,2022-10-07,4,2
LD-Cool-P,2022-10-10,7,2
LD-Cool-P,2022-10-11,2,2
LD-Cool-P,2022-10-12,1,1
LD-Cool-P,2022-10-13,3,1
ldcoolp-figshare,2022-10-03,3,2
ReBACH,2022-10-04,11,1
ReBACH,2022-10-05,1,1
ReBACH,2022-10-06,9,1
ReBACH,2022-10-08,2,1
ReBACH,2022-10-10,2,1
ReBACH,2022-10-12,2,1
redata-commons,2022-10-12,4,1
redata-docs,2022-10-03,1,1
redata-docs,2022-10-12,5,1
redata-iac,2022-10-10,2,2
ReQUIAM,2022-10-03,1,1
