repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,1,1
figstats,github.com,6,1
github-stats,github.com,1,1
LD-Cool-P,Google,7,2
LD-Cool-P,github.com,3,1
LD-Cool-P,redata.readthedocs.io,2,2
ldcoolp-figshare,github.com,2,1
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,1,1
ReBACH,github.com,2,1
redata-commons,github.com,3,1
redata-docs,github.com,2,1
redata-iac,github.com,6,1
ReM,gist.github.com,3,3
ReM,github.com,3,1
ReQUIAM,github.com,9,2
ReQUIAM,Google,1,1
ReQUIAM,teams.microsoft.com,1,1
ReQUIAM_csv,github.com,4,2
uptime,github.com,3,1
