repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2022-03-17,6,1
github-stats,2022-03-10,1,1
LD-Cool-P,2022-03-10,2,2
LD-Cool-P,2022-03-14,7,1
LD-Cool-P,2022-03-15,2,2
LD-Cool-P,2022-03-16,2,1
LD-Cool-P,2022-03-19,1,1
LD-Cool-P,2022-03-21,3,2
LD-Cool-P,2022-03-22,11,3
ReBACH,2022-03-10,2,1
ReBACH,2022-03-21,8,1
ReBACH,2022-03-22,83,2
redata-docs,2022-03-10,6,1
redata-docs,2022-03-22,4,1
redata-landing-page,2022-03-18,62,1
redata-landing-page,2022-03-19,11,1
ReQUIAM,2022-03-11,3,1
ReQUIAM,2022-03-12,5,1
ReQUIAM,2022-03-15,2,2
ReQUIAM_csv,2022-03-18,1,1
uptime,2022-03-10,1,1
uptime,2022-03-19,3,1
