repository_name,site,views,unique_visitors/cloners
LD-Cool-P,github.com,72,2
LD-Cool-P,Google,14,4
ldcoolp-figshare,github.com,33,1
ldcoolp-figshare,Google,4,2
ldcoolp-figshare,pypi.org,1,1
ReBACH,Google,6,2
redata-commons,github.com,81,1
redata-commons,pypi.org,8,1
redata-commons,readthedocs.org,5,1
redata-docs,github.com,11,1
redata-iac,github.com,1,1
ReQUIAM,github.com,145,2
ReQUIAM,requiam.readthedocs.io,3,1
ReQUIAM,redata-commons.readthedocs.io,1,1
ReQUIAM_csv,github.com,3,1
