repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,3,2
github-stats,github.com,2,1
LD-Cool-P,github.com,8,2
LD-Cool-P,redata.readthedocs.io,4,2
LD-Cool-P,Google,1,1
ldcoolp-figshare,redata.readthedocs.io,4,2
ldcoolp-figshare,github.com,1,1
ReBACH,github.com,1,1
redata-commons,redata.readthedocs.io,7,2
redata-commons,github.com,2,2
redata-docs,redata.readthedocs.io,5,2
redata-docs,github.com,3,2
redata-iac,github.com,6,2
redata-iac,redata.readthedocs.io,2,1
ReM,gist.github.com,4,1
ReQUIAM,github.com,12,3
ReQUIAM,redata.readthedocs.io,2,1
ReQUIAM,Google,1,1
ReQUIAM_csv,github.com,10,3
ReQUIAM_csv,requiam-csv.readthedocs.io,5,1
ReQUIAM_csv,redata.readthedocs.io,2,1
uptime,github.com,3,2
uptime,ual-re.github.io,1,1
