date,path,title,count,uniques
2021-09-26,/UAL-RE/data-viz-challenge,GitHub - UAL-RE/data-viz-challenge: Repository for Data Visualization Challen...,3,3
2021-09-26,/UAL-RE/figstats/issues/1,Main API functionality to query for Figshare stats · Issue #1 · UAL-RE/figsta...,1,1
2021-09-26,/UAL-RE/LD-Cool-P,UAL-RE/LD-Cool-P: Python tool to enable data curation,17,9
2021-09-26,/UAL-RE/LD-Cool-P/tree/master/ldcoolp,LD-Cool-P/ldcoolp at master · UAL-RE/LD-Cool-P,6,3
2021-09-26,/UAL-RE/LD-Cool-P/tree/master/ldcoolp/curation,LD-Cool-P/ldcoolp/curation at master · UAL-RE/LD-Cool-P,5,3
2021-09-26,/UAL-RE/LD-Cool-P/blob/master/ldcoolp/curation/retrieve.py,LD-Cool-P/retrieve.py at master · UAL-RE/LD-Cool-P,3,2
2021-09-26,/UAL-RE/LD-Cool-P/blob/master/ldcoolp/curation/metadata.py,LD-Cool-P/metadata.py at master · UAL-RE/LD-Cool-P,2,2
2021-09-26,/UAL-RE/LD-Cool-P/stargazers,Stargazers · UAL-RE/LD-Cool-P,2,1
2021-09-26,/UAL-RE/LD-Cool-P/blob/master/ldcoolp/config/default.ini,LD-Cool-P/default.ini at master · UAL-RE/LD-Cool-P · GitHub,1,1
2021-09-26,/UAL-RE/LD-Cool-P/blob/master/ldcoolp/scripts/update_readme,LD-Cool-P/update_readme at master · UAL-RE/LD-Cool-P,1,1
2021-09-26,/UAL-RE/LD-Cool-P/issues,Issues · UAL-RE/LD-Cool-P · GitHub,1,1
2021-09-26,/UAL-RE/LD-Cool-P/issues/160,Enhancement: Dump JSON metadata from Qualtrics API · Issue #160 · UAL-RE/LD-C...,1,1
2021-09-26,/UAL-RE/ldcoolp-figshare,UAL-RE/ldcoolp-figshare: Python tool using the Figshare API for data curation,8,2
2021-09-26,/UAL-RE/ldcoolp-figshare/tree/main/docs,ldcoolp-figshare/docs at main · UAL-RE/ldcoolp-figshare,3,1
2021-09-26,/UAL-RE/ldcoolp-figshare/tree/main/ldcoolp_figshare,ldcoolp-figshare/ldcoolp_figshare at main · UAL-RE/ldcoolp-figshare,3,1
2021-09-26,/UAL-RE/ldcoolp-figshare/issues,Issues · UAL-RE/ldcoolp-figshare · GitHub,2,1
2021-09-26,/UAL-RE/ldcoolp-figshare/tree/main/docs/source,ldcoolp-figshare/docs/source at main · UAL-RE/ldcoolp-figshare,2,1
2021-09-26,/UAL-RE/ldcoolp-figshare/commits,Commits · UAL-RE/ldcoolp-figshare · GitHub,1,1
2021-09-26,/UAL-RE/ldcoolp-figshare/tree/main/.github/workflows,ldcoolp-figshare/.github/workflows at main · UAL-RE/ldcoolp-figshare,1,1
2021-09-26,/UAL-RE/redata-docs,UAL-RE/redata-docs: A repo to serve general documentation regarding ReDATA so...,4,4
2021-09-26,/UAL-RE/redata-docs/blob/main/source/repos.rst,redata-docs/repos.rst at main · UAL-RE/redata-docs,1,1
2021-09-26,/UAL-RE/redata-docs/commit/676d44d13a45c3bfd1d7a00386a60059bc11df89,"added ""CHANGELOG"" to Requiam removed ""README"" · UAL-RE/redata-docs@676d44d",1,1
2021-09-26,/UAL-RE/redata-docs/commit/d0a6869f24dec785b488d7f3fc4d33626bc35de3,bump version 0.3.2 · UAL-RE/redata-docs@d0a6869,1,1
2021-09-26,/UAL-RE/redata-docs/commit/d5896ffd2e11fb3085343c69aafed6db2fa8c68f,Merge branch '14_changelog_link' into main · UAL-RE/redata-docs@d5896ff,1,1
2021-09-26,/UAL-RE/redata-docs/commits/main,Commits · UAL-RE/redata-docs,1,1
2021-09-26,/UAL-RE/redata-iac,UAL-RE/redata-iac: Infrastructure as Code (IaC) resources for ReDATA,1,1
2021-09-26,/UAL-RE/redata-iac/blob/4929ae72961cd2b7b240ac1f97348255b0ad1baf/ansible/add_swap_space.yml,redata-iac/add_swap_space.yml at 4929ae72961cd2b7b240ac1f97348255b0ad1baf · U...,1,1
2021-09-26,/UAL-RE/redata-iac/blob/master/ansible/git-pull_requiam.yml,redata-iac/git-pull_requiam.yml at master · UAL-RE/redata-iac,1,1
