repository_name,date,clones,unique_visitors/cloners
ReBACH,2023-02-13,1,1
ReBACH,2023-02-15,1,1
ReBACH,2023-02-22,2,1
ReBACH,2023-02-23,5,2
ReBACH,2023-02-24,2,2
redata-commons,2023-02-16,3,3
redata-docs,2023-02-24,1,1
redata-iac,2023-02-21,1,1
redata-iac,2023-02-22,2,2
redata-iac,2023-02-23,3,2
redata-landing-page,2023-02-12,1,1
redata-landing-page,2023-02-16,1,1
ReQUIAM,2023-02-12,2,1
ReQUIAM,2023-02-16,1,1
ReQUIAM,2023-02-21,1,1
ReQUIAM,2023-02-22,1,1
ReQUIAM,2023-02-24,2,2
ReQUIAM,2023-02-25,1,1
ReQUIAM_csv,2023-02-16,2,2
ReQUIAM_csv,2023-02-21,1,1
ReQUIAM_csv,2023-02-23,2,2
ReQUIAM_csv,2023-02-24,1,1
slacking,2023-02-20,1,1
slacking,2023-02-22,2,1
slacking,2023-02-23,1,1
slacking,2023-02-24,1,1
UAL-RE,2023-02-16,1,1
UAL-RE,2023-02-21,1,1
uptime,2023-02-11,103,2
uptime,2023-02-12,130,3
uptime,2023-02-13,121,5
uptime,2023-02-14,113,2
uptime,2023-02-15,112,2
uptime,2023-02-16,115,3
uptime,2023-02-17,123,3
uptime,2023-02-18,118,2
uptime,2023-02-19,121,3
uptime,2023-02-20,115,3
uptime,2023-02-21,114,2
uptime,2023-02-22,115,3
uptime,2023-02-23,112,2
uptime,2023-02-24,113,2
uptime,2023-02-25,18,2
