repository_name,site,views,unique_visitors/cloners
github-stats,github.com,1,1
LD-Cool-P,Google,11,3
LD-Cool-P,redata.readthedocs.io,2,1
LD-Cool-P,github.com,1,1
ldcoolp-figshare,redata.readthedocs.io,2,1
ReBACH,github.com,3,1
ReBACH,redata.readthedocs.io,1,1
redata-commons,github.com,24,2
redata-commons,redata-commons.readthedocs.io,3,1
redata-docs,github.com,17,1
redata-docs,redata.readthedocs.io,1,1
ReQUIAM,github.com,4,2
ReQUIAM,redata.readthedocs.io,4,1
ReQUIAM_csv,redata.readthedocs.io,1,1
uptime,github.com,5,2
uptime,Google,2,1
