repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2023-03-09,11,1
data-service-landscape-scan,2023-03-10,6,5
figstats,2023-03-04,1,1
LD-Cool-P,2023-03-01,2,1
LD-Cool-P,2023-03-02,6,4
LD-Cool-P,2023-03-03,6,1
LD-Cool-P,2023-03-06,2,1
LD-Cool-P,2023-03-07,7,1
LD-Cool-P,2023-03-09,1,1
LD-Cool-P,2023-03-13,1,1
LD-Cool-P,2023-03-14,1,1
ldcoolp-figshare,2023-02-28,3,2
ldcoolp-figshare,2023-03-01,1,1
ReBACH,2023-03-02,17,1
ReBACH,2023-03-03,2,1
ReBACH,2023-03-07,1,1
