UAL-ODIS,2021-04-27,2,1
data-service-landscape-scan,2021-04-01,1,1
data-service-landscape-scan,2021-04-06,8,1
data-service-landscape-scan,2021-04-12,2,1
data-service-landscape-scan,2021-04-28,6,1
data-service-landscape-scan,2021-05-05,16,1
data-service-landscape-scan,2021-05-12,10,1
data-service-landscape-scan,2021-05-13,2,1
data-service-landscape-scan,2021-05-14,1,1
data-service-landscape-scan,2021-05-16,4,1
data-service-landscape-scan,2021-05-17,6,1
data-service-landscape-scan,2021-05-27,3,1
data-viz-challenge,2021-04-05,1,1
data-viz-challenge,2021-04-07,2,1
data-viz-challenge,2021-04-12,4,1
data-viz-challenge,2021-04-13,3,1
data-viz-evaluations,2021-04-07,1,1
data-viz-evaluations,2021-04-08,2,1
figstats,2021-03-03,10,1
figstats,2021-03-09,3,1
figstats,2021-03-15,6,1
figstats,2021-03-16,6,1
figstats,2021-03-17,1,1
figstats,2021-03-31,1,1
figstats,2021-05-26,1,1
figstats,2021-05-27,8,1
github-stats,2021-04-23,55,1
github-stats,2021-04-25,5,1
github-stats,2021-04-26,3,2
github-stats,2021-04-27,5,1
github-stats,2021-04-29,2,1
github-stats,2021-05-08,1,1
github-stats,2021-05-13,2,1
github-stats,2021-05-17,1,1
ldcoolp-figshare,2021-05-14,73,2
ldcoolp-figshare,2021-05-17,9,1
ldcoolp-figshare,2021-05-18,76,1
ldcoolp-figshare,2021-05-19,12,1
ldcoolp-figshare,2021-05-20,7,1
ldcoolp-figshare,2021-05-24,134,1
ldcoolp-figshare,2021-05-25,9,3
ldcoolp-figshare,2021-05-26,7,5
redata-commons,2021-03-02,16,2
redata-commons,2021-03-03,3,2
redata-commons,2021-03-09,10,1
redata-commons,2021-03-10,23,1
redata-commons,2021-03-11,48,2
redata-commons,2021-03-12,15,2
redata-commons,2021-03-15,40,2
redata-commons,2021-03-16,20,2
redata-commons,2021-03-17,39,2
redata-commons,2021-03-18,30,4
redata-commons,2021-03-19,29,2
redata-commons,2021-03-22,52,2
redata-commons,2021-03-23,40,2
redata-commons,2021-03-26,8,1
redata-commons,2021-03-29,90,2
redata-commons,2021-03-30,36,2
redata-commons,2021-03-31,5,1
redata-commons,2021-04-04,15,1
redata-commons,2021-04-05,30,2
redata-commons,2021-04-06,20,2
redata-commons,2021-04-07,52,2
redata-commons,2021-04-08,1,1
redata-commons,2021-04-12,22,2
redata-commons,2021-04-13,21,1
redata-commons,2021-04-14,89,2
redata-commons,2021-04-15,21,2
redata-commons,2021-04-19,15,2
redata-commons,2021-04-20,84,3
redata-commons,2021-04-22,4,2
redata-commons,2021-04-26,8,2
redata-commons,2021-04-27,6,2
