repository_name,date,views,unique_visitors/cloners
data-viz-challenge,2023-01-11,1,1
LD-Cool-P,2023-01-02,1,1
LD-Cool-P,2023-01-03,1,1
LD-Cool-P,2023-01-04,1,1
LD-Cool-P,2023-01-05,6,3
LD-Cool-P,2023-01-06,2,2
LD-Cool-P,2023-01-09,3,2
LD-Cool-P,2023-01-10,1,1
LD-Cool-P,2023-01-11,1,1
LD-Cool-P,2023-01-12,1,1
LD-Cool-P,2023-01-13,1,1
LD-Cool-P,2023-01-14,1,1
LD-Cool-P,2023-01-15,1,1
ldcoolp-figshare,2023-01-09,2,1
ReBACH,2023-01-03,2,1
ReBACH,2023-01-04,1,1
ReBACH,2023-01-06,1,1
ReBACH,2023-01-08,5,1
ReBACH,2023-01-09,5,1
ReBACH,2023-01-10,4,1
redata-commons,2023-01-09,3,1
redata-commons,2023-01-10,3,1
redata-commons,2023-01-12,6,3
redata-docs,2023-01-09,1,1
redata-docs,2023-01-12,13,2
redata-iac,2023-01-06,1,1
redata-iac,2023-01-09,19,2
redata-iac,2023-01-10,1,1
ReQUIAM,2023-01-08,2,2
ReQUIAM,2023-01-09,3,1
ReQUIAM,2023-01-10,4,1
ReQUIAM,2023-01-12,5,1
ReQUIAM_csv,2023-01-09,1,1
ReQUIAM_csv,2023-01-12,4,1
