repository_name,date,clones,unique_visitors/cloners
ReQUIAM,2022-06-16,2,1
ReQUIAM,2022-06-17,8,4
ReQUIAM,2022-06-20,3,2
ReQUIAM,2022-06-21,2,1
ReQUIAM,2022-06-22,6,1
ReQUIAM,2022-06-23,2,1
ReQUIAM,2022-06-24,1,1
ReQUIAM,2022-06-26,2,2
ReQUIAM,2022-06-27,53,4
ReQUIAM,2022-06-28,11,5
ReQUIAM,2022-06-29,31,8
ReQUIAM,2022-06-30,2,2
ReQUIAM_csv,2022-06-21,2,2
ReQUIAM_csv,2022-06-27,8,6
ReQUIAM_csv,2022-06-28,2,2
slacking,2022-06-16,2,1
uptime,2022-06-16,82,5
uptime,2022-06-17,105,6
uptime,2022-06-18,114,6
uptime,2022-06-19,113,5
uptime,2022-06-20,100,5
uptime,2022-06-21,99,7
uptime,2022-06-22,94,4
uptime,2022-06-23,93,5
uptime,2022-06-24,98,6
uptime,2022-06-25,107,6
uptime,2022-06-26,105,4
uptime,2022-06-27,92,7
uptime,2022-06-28,93,6
uptime,2022-06-29,83,6
uptime,2022-06-30,15,4
