repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2023-03-02,5,3
data-service-landscape-scan,2023-03-10,1,1
data-service-landscape-scan,2023-03-11,2,2
data-viz-challenge,2023-03-02,4,2
data-viz-challenge,2023-03-03,1,1
data-viz-challenge,2023-03-10,1,1
data-viz-evaluations,2023-03-02,4,2
data-viz-evaluations,2023-03-03,1,1
data-viz-evaluations,2023-03-10,1,1
figstats,2023-03-02,4,2
figstats,2023-03-04,1,1
figstats,2023-03-10,2,2
github-stats,2023-03-02,13,9
github-stats,2023-03-03,5,3
github-stats,2023-03-04,5,3
github-stats,2023-03-05,5,3
github-stats,2023-03-06,6,4
github-stats,2023-03-07,5,3
github-stats,2023-03-08,7,5
github-stats,2023-03-09,6,4
github-stats,2023-03-10,5,3
github-stats,2023-03-11,5,3
github-stats,2023-03-12,5,3
github-stats,2023-03-13,6,4
github-stats,2023-03-14,5,3
LD-Cool-P,2023-03-02,7,4
LD-Cool-P,2023-03-04,1,1
LD-Cool-P,2023-03-07,1,1
LD-Cool-P,2023-03-08,1,1
ldcoolp-figshare,2023-03-02,4,2
ldcoolp-figshare,2023-03-04,1,1
ldcoolp-figshare,2023-03-08,1,1
ldcoolp-figshare,2023-03-09,1,1
ldcoolp-figshare,2023-03-10,1,1
ReBACH,2023-03-02,9,5
ReBACH,2023-03-06,1,1
redata-commons,2023-03-02,6,3
redata-commons,2023-03-04,1,1
redata-commons,2023-03-10,3,3
redata-docs,2023-03-02,4,2
redata-docs,2023-03-07,1,1
redata-docs,2023-03-09,1,1
redata-docs,2023-03-10,1,1
redata-iac,2023-03-02,5,3
redata-iac,2023-03-06,2,2
redata-iac,2023-03-07,2,1
redata-iac,2023-03-08,1,1
redata-iac,2023-03-09,1,1
redata-iac,2023-03-10,1,1
redata-iac,2023-03-12,1,1
redata-iac,2023-03-14,1,1
redata-landing-page,2023-03-02,4,2
redata-landing-page,2023-03-09,1,1
ReQUIAM,2023-03-02,8,4
ReQUIAM,2023-03-06,3,3
ReQUIAM,2023-03-07,4,2
ReQUIAM,2023-03-08,2,2
ReQUIAM_csv,2023-03-02,8,4
ReQUIAM_csv,2023-03-06,2,2
ReQUIAM_csv,2023-03-07,3,2
ReQUIAM_csv,2023-03-10,1,1
ReQUIAM_csv,2023-03-11,1,1
slacking,2023-03-02,4,2
slacking,2023-03-03,1,1
slacking,2023-03-06,1,1
slacking,2023-03-07,1,1
slacking,2023-03-08,1,1
slacking,2023-03-09,1,1
slacking,2023-03-11,2,2
slacking,2023-03-12,1,1
slacking,2023-03-14,1,1
UAL-RE,2023-03-02,4,2
UAL-RE,2023-03-06,1,1
UAL-RE,2023-03-11,1,1
uptime,2023-03-01,89,3
uptime,2023-03-02,109,5
uptime,2023-03-03,107,4
uptime,2023-03-04,121,2
uptime,2023-03-05,119,2
uptime,2023-03-06,112,3
uptime,2023-03-07,110,3
uptime,2023-03-08,111,3
uptime,2023-03-09,109,3
uptime,2023-03-10,113,3
uptime,2023-03-11,128,2
uptime,2023-03-12,125,2
uptime,2023-03-13,121,3
uptime,2023-03-14,105,2
uptime,2023-03-15,16,2
