repository_name,date,clones,unique_visitors/cloners
github-stats,2022-07-03,6,4
github-stats,2022-07-04,6,4
github-stats,2022-07-05,7,4
github-stats,2022-07-06,5,3
github-stats,2022-07-07,5,3
github-stats,2022-07-08,5,3
github-stats,2022-07-09,5,3
github-stats,2022-07-10,5,3
github-stats,2022-07-11,6,4
github-stats,2022-07-12,5,3
github-stats,2022-07-13,5,3
github-stats,2022-07-14,6,4
github-stats,2022-07-15,6,4
LD-Cool-P,2022-07-07,2,1
LD-Cool-P,2022-07-09,1,1
LD-Cool-P,2022-07-12,1,1
LD-Cool-P,2022-07-15,1,1
ldcoolp-figshare,2022-07-04,1,1
ldcoolp-figshare,2022-07-11,1,1
ldcoolp-figshare,2022-07-12,1,1
ReBACH,2022-07-07,2,1
ReBACH,2022-07-08,2,2
ReBACH,2022-07-12,1,1
redata-commons,2022-07-04,1,1
redata-commons,2022-07-05,26,9
redata-commons,2022-07-06,44,10
redata-commons,2022-07-07,55,12
redata-commons,2022-07-08,23,8
redata-commons,2022-07-11,1,1
redata-commons,2022-07-13,2,1
redata-commons,2022-07-15,1,1
redata-docs,2022-07-12,1,1
redata-docs,2022-07-13,2,1
redata-iac,2022-07-13,1,1
