repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2022-12-23,1,1
data-service-landscape-scan,2022-12-24,2,1
data-viz-challenge,2022-12-31,1,1
data-viz-evaluations,2022-12-18,1,1
github-stats,2022-12-18,5,3
github-stats,2022-12-19,5,3
github-stats,2022-12-20,5,3
github-stats,2022-12-21,5,3
github-stats,2022-12-22,6,4
github-stats,2022-12-23,5,3
github-stats,2022-12-24,7,4
github-stats,2022-12-25,1,1
github-stats,2022-12-26,5,3
github-stats,2022-12-27,5,3
github-stats,2022-12-28,1,1
github-stats,2022-12-29,5,3
github-stats,2022-12-30,5,3
ldcoolp-figshare,2022-12-18,1,1
ldcoolp-figshare,2022-12-24,2,1
ReBACH,2022-12-19,13,2
ReBACH,2022-12-20,3,1
ReBACH,2022-12-21,14,5
ReBACH,2022-12-22,3,2
ReBACH,2022-12-23,1,1
ReBACH,2022-12-24,2,1
