date,path,title,count,uniques
2022-12-19,/UAL-RE/github-stats,GitHub - UAL-RE/github-stats: GitHub stats for UAL-RE,1,1
2022-12-19,/UAL-RE/LD-Cool-P/issues/37,Use Qualtrics Q_PopulateResponse to provide customized URL for Deposit Agreem...,4,2
2022-12-19,/UAL-RE/LD-Cool-P,UAL-RE/LD-Cool-P: Python tool to enable data curation,2,2
2022-12-19,/UAL-RE/ldcoolp-figshare,GitHub - UAL-RE/ldcoolp-figshare: Python tool using the Figshare API for data...,2,2
2022-12-19,/UAL-RE/ReBACH/pull/13,Merge ReBACH-Bagger by jonathannoah · Pull Request #13 · UAL-RE/ReBACH · GitHub,16,10
2022-12-19,/UAL-RE/ReBACH,UAL-RE/ReBACH: Python-based tool to enable data preservation to a cloud-hoste...,10,9
2022-12-19,/UAL-RE/ReBACH/pulls,Pull requests · UAL-RE/ReBACH · GitHub,7,4
2022-12-19,/UAL-RE/ReBACH/issues/12,Merge ReBACH-Bagger with ReBACH · Issue #12 · UAL-RE/ReBACH · GitHub,6,6
2022-12-19,/UAL-RE/ReBACH/tree/12-merge-rebach-bagger/bagger,ReBACH/bagger at 12-merge-rebach-bagger · UAL-RE/ReBACH · GitHub,6,3
2022-12-19,/UAL-RE/ReBACH/tree/12-merge-rebach-bagger,GitHub - UAL-RE/ReBACH at 12-merge-rebach-bagger,5,4
2022-12-19,/UAL-RE/ReBACH/pull/13/commits,Merge ReBACH-Bagger by jonathannoah · Pull Request #13 · UAL-RE/ReBACH · GitHub,5,3
2022-12-19,/UAL-RE/ReBACH/issues,Issues · UAL-RE/ReBACH · GitHub,4,4
2022-12-19,/UAL-RE/ReBACH/blob/12-merge-rebach-bagger/bagger/bag.py,ReBACH/bag.py at 12-merge-rebach-bagger · UAL-RE/ReBACH · GitHub,3,2
2022-12-19,/UAL-RE/ReBACH/blob/12-merge-rebach-bagger/bagger/job.py,ReBACH/job.py at 12-merge-rebach-bagger · UAL-RE/ReBACH · GitHub,3,2
2022-12-19,/UAL-RE/redata-commons,GitHub - UAL-RE/redata-commons: Commons code used by ReDATA codebases,1,1
2022-12-19,/UAL-RE/redata-commons/blob/main/redata/commons/issue_request.py,redata-commons/issue_request.py at main · UAL-RE/redata-commons · GitHub,1,1
2022-12-19,/UAL-RE/redata-commons/blob/main/redata/commons/logger.py,redata-commons/logger.py at main · UAL-RE/redata-commons · GitHub,1,1
2022-12-19,/UAL-RE/redata-commons/tree/main/redata,redata-commons/redata at main · UAL-RE/redata-commons · GitHub,1,1
2022-12-19,/UAL-RE/redata-commons/tree/main/redata/commons,redata-commons/redata/commons at main · UAL-RE/redata-commons · GitHub,1,1
2022-12-19,/UAL-RE/redata-iac/issues,Issues · UAL-RE/redata-iac · GitHub,3,2
2022-12-19,/UAL-RE/redata-iac/issues/44,doctl_backup.sh: upgrade DigitalOcean token · Issue #44 · UAL-RE/redata-iac ·...,2,2
2022-12-19,/UAL-RE/ReQUIAM,GitHub - UAL-RE/ReQUIAM: Identity and Access Management backend software for ...,1,1
2022-12-19,/UAL-RE/ReQUIAM/network/members,Forks · UAL-RE/ReQUIAM · GitHub,1,1
2022-12-19,/UAL-RE/ReQUIAM_csv,UAL-RE/ReQUIAM_csv: Construct list of research themes and organization mappin...,1,1
2022-12-19,/UAL-RE/ReQUIAM_csv/issues/50,GitHub Actions for release gating · Issue #50 · UAL-RE/ReQUIAM_csv,1,1
