repository_name,date,clones,unique_visitors/cloners
github-stats,2022-11-21,5,3
github-stats,2022-11-22,6,4
github-stats,2022-11-23,6,4
github-stats,2022-11-24,6,4
github-stats,2022-11-25,5,3
github-stats,2022-11-26,7,4
github-stats,2022-11-27,6,4
github-stats,2022-11-28,5,3
github-stats,2022-11-29,6,4
github-stats,2022-11-30,6,4
github-stats,2022-12-01,6,4
github-stats,2022-12-02,5,3
github-stats,2022-12-03,7,5
github-stats,2022-12-04,5,3
LD-Cool-P,2022-11-21,1,1
LD-Cool-P,2022-12-02,1,1
LD-Cool-P,2022-12-03,1,1
ldcoolp-figshare,2022-11-25,1,1
ldcoolp-figshare,2022-11-30,1,1
ldcoolp-figshare,2022-12-02,1,1
ReBACH,2022-11-24,3,2
ReBACH,2022-11-28,3,2
ReBACH,2022-11-29,3,2
ReBACH,2022-11-30,2,2
ReBACH,2022-12-01,1,1
ReBACH,2022-12-04,1,1
redata-commons,2022-11-23,2,2
redata-commons,2022-11-25,1,1
redata-commons,2022-12-04,1,1
redata-docs,2022-12-03,1,1
redata-iac,2022-11-23,1,1
ReQUIAM,2022-12-02,1,1
ReQUIAM,2022-12-03,1,1
ReQUIAM_csv,2022-12-02,1,1
ReQUIAM_csv,2022-12-04,1,1
ReQUIAM_csv,2022-12-05,1,1
slacking,2022-11-22,1,1
uptime,2022-11-21,81,4
uptime,2022-11-22,101,4
uptime,2022-11-23,111,4
uptime,2022-11-24,113,5
uptime,2022-11-25,120,9
uptime,2022-11-26,122,6
uptime,2022-11-27,117,5
uptime,2022-11-28,113,5
uptime,2022-11-29,124,11
uptime,2022-11-30,111,5
uptime,2022-12-01,110,5
uptime,2022-12-02,127,9
uptime,2022-12-03,139,8
uptime,2022-12-04,128,5
uptime,2022-12-05,23,4
