repository_name,date,clones,unique_visitors/cloners
redata-docs,2021-09-02,1,1
redata-docs,2021-09-10,1,1
ReM,2021-09-01,1,1
ReM,2021-09-05,1,1
ReM,2021-09-07,1,1
ReM,2021-09-09,1,1
ReM,2021-09-10,1,1
ReQUIAM,2021-08-31,1,1
UAL-RE,2021-09-05,1,1
uptime,2021-08-28,89,2
uptime,2021-08-29,117,4
uptime,2021-08-30,113,4
uptime,2021-08-31,115,4
uptime,2021-09-01,113,5
uptime,2021-09-02,110,2
uptime,2021-09-03,110,2
uptime,2021-09-04,114,4
uptime,2021-09-05,116,4
uptime,2021-09-06,110,4
uptime,2021-09-07,112,4
uptime,2021-09-08,109,2
uptime,2021-09-09,112,4
uptime,2021-09-10,114,4
uptime,2021-09-11,9,4
