repository_name,date,clones,unique_visitors/cloners
data-viz-evaluations,2022-12-18,1,1
github-stats,2022-12-19,5,3
github-stats,2022-12-20,5,3
github-stats,2022-12-21,5,3
github-stats,2022-12-22,6,4
github-stats,2022-12-23,5,3
github-stats,2022-12-24,7,4
github-stats,2022-12-25,1,1
github-stats,2022-12-26,5,3
github-stats,2022-12-27,5,3
github-stats,2022-12-28,1,1
github-stats,2022-12-29,5,3
github-stats,2022-12-30,5,3
github-stats,2022-12-31,5,3
ldcoolp-figshare,2022-12-18,1,1
ldcoolp-figshare,2022-12-24,2,1
ldcoolp-figshare,2022-12-31,1,1
ReBACH,2022-12-19,13,2
ReBACH,2022-12-20,3,1
ReBACH,2022-12-21,14,5
ReBACH,2022-12-22,3,2
ReBACH,2022-12-23,1,1
ReBACH,2022-12-24,2,1
redata-commons,2022-12-23,1,1
redata-commons,2022-12-24,2,1
redata-iac,2022-12-24,2,1
redata-iac,2022-12-25,1,1
redata-landing-page,2022-12-18,1,1
redata-landing-page,2022-12-24,2,1
ReQUIAM,2022-12-21,1,1
ReQUIAM,2022-12-24,2,1
ReQUIAM_csv,2022-12-21,2,1
ReQUIAM_csv,2022-12-24,2,1
ReQUIAM_csv,2022-12-29,1,1
uptime,2022-12-18,102,1
uptime,2022-12-19,122,3
uptime,2022-12-20,121,2
uptime,2022-12-21,122,2
uptime,2022-12-22,122,3
uptime,2022-12-23,127,4
uptime,2022-12-24,138,6
uptime,2022-12-25,128,3
uptime,2022-12-26,124,2
uptime,2022-12-27,126,3
uptime,2022-12-28,125,3
uptime,2022-12-29,126,3
uptime,2022-12-30,126,3
uptime,2022-12-31,131,3
uptime,2023-01-01,19,3
