date,path,title,count,uniques
2021-05-26,/UAL-ODIS/data-service-landscape-scan,UAL-ODIS/data-service-landscape-scan: Scan of data services at academic libra...,5,2
2021-05-26,/UAL-ODIS/data-service-landscape-scan/issues,Issues · UAL-ODIS/data-service-landscape-scan,3,2
2021-05-26,/UAL-ODIS/data-service-landscape-scan/issues/2,Rank services from least common to most common · Issue #2 · UAL-ODIS/data-ser...,1,1
2021-05-26,/UAL-ODIS/data-service-landscape-scan/issues/3,Test number of services vs spending · Issue #3 · UAL-ODIS/data-service-landsc...,1,1
2021-05-26,/UAL-ODIS/data-service-landscape-scan/projects,Projects · UAL-ODIS/data-service-landscape-scan,1,1
2021-05-26,/UAL-ODIS/data-service-landscape-scan/projects/1,Data Landscape Scan Project Board,1,1
2021-05-26,/UAL-ODIS/data-service-landscape-scan/tree/main/data,data-service-landscape-scan/data at main · UAL-ODIS/data-service-landscape-scan,1,1
2021-05-26,/UAL-ODIS/github-stats,UAL-ODIS/github-stats: GitHub stats for UAL-ODIS,2,2
2021-05-26,/UAL-ODIS/github-stats/commit/22ad2757c794d9251be337415f40821f239f7e35,Update data: 2021-05-13 · UAL-ODIS/github-stats@22ad275,1,1
2021-05-26,/ualibraries/LD_Cool_P,ualibraries/LD_Cool_P: Python tool to enable data curation,18,4
2021-05-26,/UAL-ODIS/LD-Cool-P/issues,Issues · UAL-ODIS/LD-Cool-P,18,1
2021-05-26,/ualibraries/LD_Cool_P/issues,Issues · ualibraries/LD_Cool_P,10,1
2021-05-26,/UAL-ODIS/LD-Cool-P/pulls,Pull requests · UAL-ODIS/LD-Cool-P,9,1
2021-05-26,/UAL-ODIS/LD-Cool-P,UAL-ODIS/LD-Cool-P: Python tool to enable data curation,8,2
2021-05-26,/ualibraries/LD_Cool_P/tags,Tags · ualibraries/LD_Cool_P,7,1
2021-05-26,/ualibraries/LD_Cool_P/pulls,Pull requests · ualibraries/LD_Cool_P,6,1
2021-05-26,/UAL-ODIS/LD-Cool-P/issues/175,Enhancement: Migrate repository to UAL-ODIS · Issue #175 · UAL-ODIS/LD-Cool-P,5,1
2021-05-26,/ualibraries/LD_Cool_P/watchers,Watchers · ualibraries/LD_Cool_P,4,1
2021-05-26,/UAL-ODIS/LD-Cool-P/issues/211,Bug: Incorrect path for GitHub badge · Issue #211 · UAL-ODIS/LD-Cool-P,4,1
2021-05-26,/UAL-ODIS/ldcoolp-figshare,UAL-ODIS/ldcoolp-figshare: Python tool using the Figshare API for data curation,66,5
2021-05-26,/UAL-ODIS/ldcoolp-figshare/issues,Issues · UAL-ODIS/ldcoolp-figshare,60,1
2021-05-26,/UAL-ODIS/ldcoolp-figshare/pulls,Pull requests · UAL-ODIS/ldcoolp-figshare,29,1
2021-05-26,/UAL-ODIS/ldcoolp-figshare/actions,Actions · UAL-ODIS/ldcoolp-figshare,26,1
2021-05-26,/UAL-ODIS/ldcoolp-figshare/releases,Releases · UAL-ODIS/ldcoolp-figshare,10,1
2021-05-26,/UAL-ODIS/ldcoolp-figshare/issues/10,Add Sphinx documentation and publish to ReadTheDocs · Issue #10 · UAL-ODIS/ld...,9,2
2021-05-26,/UAL-ODIS/ldcoolp-figshare/issues/4,Prepare code for PyPI packaging · Issue #4 · UAL-ODIS/ldcoolp-figshare,8,1
2021-05-26,/UAL-ODIS/ldcoolp-figshare/milestones,Milestones - UAL-ODIS/ldcoolp-figshare,8,1
2021-05-26,/UAL-ODIS/ldcoolp-figshare/issues/5,Include issue_request from redata-commons · Issue #5 · UAL-ODIS/ldcoolp-figsh...,7,1
2021-05-26,/UAL-ODIS/ldcoolp-figshare/pull/8,[WIP] Refactor FigshareInstituteAdmin for general use by astrochun · Pull Req...,7,1
2021-05-26,/UAL-ODIS/redata-commons,UAL-ODIS/redata-commons: Commons code used by ReDATA codebases,22,3
2021-05-26,/UAL-ODIS/redata-commons/releases,Releases · UAL-ODIS/redata-commons,10,1
2021-05-26,/UAL-ODIS/redata-commons/tree/main/docs/source,redata-commons/docs/source at main · UAL-ODIS/redata-commons,9,1
2021-05-26,/UAL-ODIS/redata-commons/issues,Issues · UAL-ODIS/redata-commons,8,1
2021-05-26,/UAL-ODIS/redata-commons/stargazers,Stargazers · UAL-ODIS/redata-commons,6,1
2021-05-26,/UAL-ODIS/redata-commons/releases/tag/v0.4.0,Release v0.4.0 · UAL-ODIS/redata-commons,5,2
2021-05-26,/UAL-ODIS/redata-commons/issues/16,Add unit testing for issue_request module · Issue #16 · UAL-ODIS/redata-commons,5,1
2021-05-26,/UAL-ODIS/redata-commons/pull/15,Add issue_requests function to code by astrochun · Pull Request #15 · UAL-ODI...,5,1
2021-05-26,/UAL-ODIS/redata-commons/pulls,Pull requests · UAL-ODIS/redata-commons,5,1
2021-05-26,/UAL-ODIS/redata-commons/tree/main/docs,redata-commons/docs at main · UAL-ODIS/redata-commons,4,1
2021-05-26,/UAL-ODIS/redata-docs,UAL-ODIS/redata-docs: A repo to serve general documentation regarding ReDATA ...,1,1
2021-05-26,/UAL-ODIS/ReDATA_README_Tool,UAL-ODIS/ReDATA_README_Tool: A Python web UI built on FastAPI to gather metad...,13,5
2021-05-26,/UAL-ODIS/ReDATA_README_Tool/pull/14/files,[WIP] Feature: Work with Figshare curation metadata instead of published meta...,6,1
2021-05-26,/UAL-ODIS/ReDATA_README_Tool/pulls,Pull requests · UAL-ODIS/ReDATA_README_Tool,5,1
2021-05-26,/UAL-ODIS/ReDATA_README_Tool/actions,Actions · UAL-ODIS/ReDATA_README_Tool,4,1
2021-05-26,/UAL-ODIS/ReDATA_README_Tool/pull/14,[WIP] Feature: Work with Figshare curation metadata instead of published meta...,4,1
