repository_name,date,views,unique_visitors/cloners
LD-Cool-P,2022-08-17,3,3
LD-Cool-P,2022-08-18,1,1
LD-Cool-P,2022-08-19,1,1
LD-Cool-P,2022-08-22,2,2
LD-Cool-P,2022-08-23,1,1
ldcoolp-figshare,2022-08-12,1,1
ldcoolp-figshare,2022-08-17,9,1
ldcoolp-figshare,2022-08-18,1,1
ReBACH,2022-08-12,6,1
ReBACH,2022-08-17,14,1
ReBACH,2022-08-19,28,2
ReBACH,2022-08-20,2,1
ReBACH,2022-08-23,4,1
ReBACH,2022-08-25,24,1
redata-commons,2022-08-12,2,2
redata-commons,2022-08-13,1,1
redata-commons,2022-08-16,4,1
redata-commons,2022-08-19,5,1
redata-docs,2022-08-12,1,1
redata-docs,2022-08-17,1,1
redata-docs,2022-08-22,4,1
redata-docs,2022-08-24,1,1
redata-iac,2022-08-22,2,1
redata-landing-page,2022-08-17,11,1
ReQUIAM,2022-08-12,3,1
ReQUIAM,2022-08-13,3,1
ReQUIAM,2022-08-16,3,1
ReQUIAM,2022-08-19,4,1
ReQUIAM,2022-08-22,8,1
ReQUIAM,2022-08-23,1,1
ReQUIAM,2022-08-24,2,1
ReQUIAM_csv,2022-08-12,5,1
ReQUIAM_csv,2022-08-13,1,1
ReQUIAM_csv,2022-08-16,10,1
ReQUIAM_csv,2022-08-19,3,1
ReQUIAM_csv,2022-08-22,1,1
uptime,2022-08-22,2,1
uptime,2022-08-24,2,1
