repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2023-03-22,1,1
data-service-landscape-scan,2023-03-27,5,1
github-stats,2023-03-27,3,1
LD-Cool-P,2023-03-29,1,1
LD-Cool-P,2023-04-02,1,1
ldcoolp-figshare,2023-03-23,1,1
ldcoolp-figshare,2023-04-03,1,1
ReBACH,2023-03-24,1,1
ReBACH,2023-03-29,6,1
ReBACH,2023-03-30,48,1
ReBACH,2023-03-31,60,1
ReBACH,2023-04-01,1,1
ReBACH,2023-04-03,1,1
redata-commons,2023-03-31,1,1
redata-docs,2023-03-31,1,1
redata-iac,2023-03-22,2,1
