date,path,title,count,uniques
2022-03-17,/UAL-RE/github-stats,UAL-RE/github-stats: GitHub stats for UAL-RE,2,1
2022-03-17,/UAL-RE/github-stats/runs/5431235757,Deploy GitHub pages with traffic stats · UAL-RE/github-stats@6657acd,2,1
2022-03-17,/UAL-RE/github-stats/actions/runs/1937228901,Deploy GitHub pages with traffic stats · UAL-RE/github-stats@6657acd,1,1
2022-03-17,/UAL-RE/github-stats/commit/d4938ab882a42324d4d68cd28dfdc549878c8c1f,Update static pages: 2022-03-10 10578f08d7947417cf57a92ad7ced544e0e04e95 · UA...,1,1
2022-03-17,/UAL-RE/github-stats/runs/5435900119,Deploy GitHub pages with traffic stats · UAL-RE/github-stats@6657acd,1,1
2022-03-17,/UAL-RE/LD-Cool-P/issues/37,Use Qualtrics Q_PopulateResponse to provide customized URL for Deposit Agreem...,3,3
2022-03-17,/UAL-RE/LD-Cool-P,UAL-RE/LD-Cool-P: Python tool to enable data curation,2,2
2022-03-17,/UAL-RE/LD-Cool-P/blob/master/.github/workflows/create-release.yml,LD-Cool-P/create-release.yml at master · UAL-RE/LD-Cool-P · GitHub,2,2
2022-03-17,/UAL-RE/LD-Cool-P/issues/246,Enhancement: Add associated paper to readme (Resource Title/DOI) · Issue #246...,2,2
2022-03-17,/UAL-RE/LD-Cool-P/blob/feature/qualtrics2/DataRepository_curation/config/default.ini,LD-Cool-P/default.ini at feature/qualtrics2 · UAL-RE/LD-Cool-P · GitHub,1,1
2022-03-17,/UAL-RE/LD-Cool-P/blob/feature/qualtrics2/DataRepository_curation/curation/retrieve.py,LD-Cool-P/retrieve.py at feature/qualtrics2 · UAL-RE/LD-Cool-P · GitHub,1,1
2022-03-17,/UAL-RE/LD-Cool-P/issues,Issues · UAL-RE/LD-Cool-P,1,1
2022-03-17,/UAL-RE/LD-Cool-P/issues/131,Create new GitHub issue template for enhancement · Issue #131 · UAL-RE/LD-Coo...,1,1
2022-03-17,/UAL-RE/LD-Cool-P/issues/144,Long Qualtrics links a problem for Outlook · Issue #144 · UAL-RE/LD-Cool-P,1,1
2022-03-17,/UAL-RE/LD-Cool-P/issues/162,Bug: Q_EED does not work with Q_PopulateResponse · Issue #162 · UAL-RE/LD-Coo...,1,1
2022-03-17,/UAL-RE/ldcoolp-figshare,GitHub - UAL-RE/ldcoolp-figshare: Python tool using the Figshare API for data...,1,1
2022-03-17,/UAL-RE/ldcoolp-figshare/blob/main/requirements.txt,ldcoolp-figshare/requirements.txt at main · UAL-RE/ldcoolp-figshare · GitHub,1,1
2022-03-17,/UAL-RE/ReBACH,UAL-RE/ReBACH: Python-based tool to enable data preservation to a cloud-hoste...,2,1
2022-03-17,/UAL-RE/redata-docs,UAL-RE/redata-docs: A repo to serve general documentation regarding ReDATA so...,3,2
2022-03-17,/UAL-RE/redata-docs/blob/main/source/conf.py,redata-docs/conf.py at main · UAL-RE/redata-docs,1,1
2022-03-17,/UAL-RE/redata-docs/blob/main/source/iam.rst,redata-docs/iam.rst at main · UAL-RE/redata-docs,1,1
2022-03-17,/UAL-RE/redata-docs/blob/main/source/repos.rst,redata-docs/repos.rst at main · UAL-RE/redata-docs,1,1
2022-03-17,/UAL-RE/redata-docs/commit/d5896ffd2e11fb3085343c69aafed6db2fa8c68f,Merge branch '14_changelog_link' into main · UAL-RE/redata-docs@d5896ff,1,1
2022-03-17,/UAL-RE/redata-docs/tree/main/source,redata-docs/source at main · UAL-RE/redata-docs,1,1
2022-03-17,/UAL-RE/ReQUIAM,UAL-RE/ReQUIAM: Identity and Access Management backend software for UA Resear...,3,2
2022-03-17,/UAL-RE/ReQUIAM/tree/11df0fb1bd60f38ddd280b6fe2ec034a1e0fb36e/.github/PULL_REQUEST_TEMPLATE,ReQUIAM/.github/PULL_REQUEST_TEMPLATE at 11df0fb1bd60f38ddd280b6fe2ec034a1e0f...,2,1
2022-03-17,/UAL-RE/ReQUIAM/blob/11df0fb1bd60f38ddd280b6fe2ec034a1e0fb36e/.github/PULL_REQUEST_TEMPLATE/bug-pull-request.md,ReQUIAM/bug-pull-request.md at 11df0fb1bd60f38ddd280b6fe2ec034a1e0fb36e · UAL...,1,1
2022-03-17,/UAL-RE/ReQUIAM/blob/master/setup.py,ReQUIAM/setup.py at master · UAL-RE/ReQUIAM,1,1
2022-03-17,/UAL-RE/ReQUIAM/issues/49,Bug in user_update script when neither --portal or --quota is specified · Iss...,1,1
2022-03-17,/UAL-RE/ReQUIAM/tree/11df0fb1bd60f38ddd280b6fe2ec034a1e0fb36e/.github,ReQUIAM/.github at 11df0fb1bd60f38ddd280b6fe2ec034a1e0fb36e · UAL-RE/ReQUIAM,1,1
2022-03-17,/UAL-RE/ReQUIAM/tree/11df0fb1bd60f38ddd280b6fe2ec034a1e0fb36e/.github/ISSUE_TEMPLATE,ReQUIAM/.github/ISSUE_TEMPLATE at 11df0fb1bd60f38ddd280b6fe2ec034a1e0fb36e · ...,1,1
2022-03-17,/UAL-RE/UAL-RE/commit/d798d12713b0a8d685171b554a47906efb52c535,Update README.md · UAL-RE/UAL-RE@d798d12,2,1
2022-03-17,/UAL-RE/uptime,UAL-RE/uptime: Uptime monitoring with @upptime,1,1
