repository_name,date,clones,unique_visitors/cloners
data-viz-challenge,2022-09-17,1,1
github-stats,2022-09-10,1,1
github-stats,2022-09-11,5,4
github-stats,2022-09-12,5,4
github-stats,2022-09-13,5,4
github-stats,2022-09-14,4,3
github-stats,2022-09-15,5,4
github-stats,2022-09-16,4,3
github-stats,2022-09-17,4,3
github-stats,2022-09-18,4,3
github-stats,2022-09-19,4,3
github-stats,2022-09-20,4,3
github-stats,2022-09-21,4,3
github-stats,2022-09-22,4,3
github-stats,2022-09-23,5,4
LD-Cool-P,2022-09-17,2,1
LD-Cool-P,2022-09-19,1,1
ldcoolp-figshare,2022-09-17,2,1
ldcoolp-figshare,2022-09-18,1,1
ReBACH,2022-09-12,3,1
ReBACH,2022-09-13,1,1
ReBACH,2022-09-16,1,1
ReBACH,2022-09-17,2,1
ReBACH,2022-09-19,1,1
ReBACH,2022-09-21,2,2
redata-commons,2022-09-15,1,1
redata-commons,2022-09-16,1,1
redata-docs,2022-09-22,1,1
redata-iac,2022-09-11,1,1
ReQUIAM,2022-09-17,2,1
ReQUIAM,2022-09-23,2,2
ReQUIAM_csv,2022-09-15,1,1
ReQUIAM_csv,2022-09-17,3,2
ReQUIAM_csv,2022-09-22,1,1
uptime,2022-09-10,59,1
uptime,2022-09-11,72,2
uptime,2022-09-12,63,3
uptime,2022-09-13,64,3
uptime,2022-09-14,63,2
uptime,2022-09-15,63,2
uptime,2022-09-16,64,3
uptime,2022-09-17,76,2
uptime,2022-09-18,75,3
uptime,2022-09-19,59,3
uptime,2022-09-20,61,2
uptime,2022-09-21,59,3
uptime,2022-09-22,61,2
uptime,2022-09-23,59,2
uptime,2022-09-24,11,4
