repository_name,date,views,unique_visitors/cloners
github-stats,2023-02-14,2,2
LD-Cool-P,2023-02-13,2,1
LD-Cool-P,2023-02-15,28,4
LD-Cool-P,2023-02-16,1,1
LD-Cool-P,2023-02-22,1,1
ldcoolp-figshare,2023-02-13,1,1
ldcoolp-figshare,2023-02-16,2,1
ReBACH,2023-02-13,78,1
ReBACH,2023-02-14,26,2
ReBACH,2023-02-16,16,2
ReBACH,2023-02-20,6,1
ReBACH,2023-02-21,4,1
ReBACH,2023-02-22,36,2
ReBACH,2023-02-23,70,1
ReBACH,2023-02-24,23,1
redata-commons,2023-02-13,1,1
redata-commons,2023-02-22,5,1
redata-docs,2023-02-22,1,1
redata-iac,2023-02-20,4,2
redata-iac,2023-02-21,34,1
redata-iac,2023-02-22,19,1
redata-iac,2023-02-23,12,1
redata-iac,2023-02-24,1,1
ReQUIAM,2023-02-13,6,1
ReQUIAM,2023-02-20,1,1
ReQUIAM,2023-02-21,1,1
ReQUIAM_csv,2023-02-13,1,1
ReQUIAM_csv,2023-02-19,2,1
