repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2023-02-03,1,1
data-service-landscape-scan,2023-02-13,2,2
data-viz-challenge,2023-02-01,2,2
data-viz-evaluations,2023-02-02,2,2
github-stats,2023-02-02,2,2
github-stats,2023-02-03,5,3
github-stats,2023-02-04,5,3
github-stats,2023-02-05,5,3
github-stats,2023-02-06,6,4
github-stats,2023-02-07,5,3
github-stats,2023-02-08,1,1
github-stats,2023-02-09,5,3
github-stats,2023-02-10,7,4
github-stats,2023-02-11,5,3
github-stats,2023-02-12,5,3
github-stats,2023-02-13,8,6
github-stats,2023-02-14,5,3
LD-Cool-P,2023-02-02,1,1
LD-Cool-P,2023-02-04,1,1
LD-Cool-P,2023-02-10,1,1
LD-Cool-P,2023-02-14,1,1
ldcoolp-figshare,2023-02-07,1,1
ReBACH,2023-02-01,1,1
ReBACH,2023-02-08,1,1
ReBACH,2023-02-13,1,1
ReBACH,2023-02-15,1,1
redata-commons,2023-02-09,1,1
redata-commons,2023-02-10,1,1
redata-landing-page,2023-02-01,1,1
redata-landing-page,2023-02-08,1,1
redata-landing-page,2023-02-09,3,3
redata-landing-page,2023-02-10,1,1
redata-landing-page,2023-02-12,1,1
ReQUIAM,2023-02-01,2,2
ReQUIAM,2023-02-12,2,1
slacking,2023-02-09,1,1
uptime,2023-02-01,98,3
uptime,2023-02-02,133,3
uptime,2023-02-03,126,3
uptime,2023-02-04,129,4
uptime,2023-02-05,134,4
uptime,2023-02-06,127,4
uptime,2023-02-07,119,2
uptime,2023-02-08,115,2
uptime,2023-02-09,121,3
uptime,2023-02-10,122,3
uptime,2023-02-11,129,3
uptime,2023-02-12,130,3
uptime,2023-02-13,121,5
uptime,2023-02-14,113,2
uptime,2023-02-15,13,2
