date,path,title,count,uniques
2021-11-16,/UAL-RE/figstats,GitHub - UAL-RE/figstats: Python software to retrieve statistics for public d...,1,1
2021-11-16,/UAL-RE/LD-Cool-P,GitHub - UAL-RE/LD-Cool-P: Python tool to enable data curation,10,2
2021-11-16,/UAL-RE/LD-Cool-P/tree/master/.github,LD-Cool-P/.github at master · UAL-RE/LD-Cool-P · GitHub,10,2
2021-11-16,/UAL-RE/LD-Cool-P/tree/master/tests,LD-Cool-P/tests at master · UAL-RE/LD-Cool-P,8,1
2021-11-16,/UAL-RE/LD-Cool-P/tree/master/.github/workflows,LD-Cool-P/.github/workflows at master · UAL-RE/LD-Cool-P · GitHub,7,2
2021-11-16,/UAL-RE/LD-Cool-P/tree/master/ldcoolp/config,LD-Cool-P/ldcoolp/config at master · UAL-RE/LD-Cool-P,7,1
2021-11-16,/UAL-RE/LD-Cool-P/blob/master/.github/workflows/create-release.yml,LD-Cool-P/create-release.yml at master · UAL-RE/LD-Cool-P · GitHub,5,2
2021-11-16,/UAL-RE/LD-Cool-P/blob/master/tests/__init__.py,LD-Cool-P/__init__.py at master · UAL-RE/LD-Cool-P,5,1
2021-11-16,/UAL-RE/LD-Cool-P/tree/master/ldcoolp/admin,LD-Cool-P/ldcoolp/admin at master · UAL-RE/LD-Cool-P,5,1
2021-11-16,/UAL-RE/LD-Cool-P/blob/master/ldcoolp/config/default.ini,LD-Cool-P/default.ini at master · UAL-RE/LD-Cool-P,4,1
2021-11-16,/UAL-RE/LD-Cool-P/tree/master/ldcoolp,LD-Cool-P/ldcoolp at master · UAL-RE/LD-Cool-P,4,1
2021-11-16,/UAL-RE/ldcoolp-figshare,UAL-RE/ldcoolp-figshare: Python tool using the Figshare API for data curation,24,4
2021-11-16,/UAL-RE/ldcoolp-figshare/tree/main/.github/workflows,ldcoolp-figshare/.github/workflows at main · UAL-RE/ldcoolp-figshare,11,1
2021-11-16,/UAL-RE/ldcoolp-figshare/tree/main/ldcoolp_figshare,ldcoolp-figshare/ldcoolp_figshare at main · UAL-RE/ldcoolp-figshare,6,1
2021-11-16,/UAL-RE/ldcoolp-figshare/blob/main/.github/workflows/create-release.yml,ldcoolp-figshare/create-release.yml at main · UAL-RE/ldcoolp-figshare,5,1
2021-11-16,/UAL-RE/ldcoolp-figshare/tree/main/docs,ldcoolp-figshare/docs at main · UAL-RE/ldcoolp-figshare,5,1
2021-11-16,/UAL-RE/ldcoolp-figshare/tree/main/.github,ldcoolp-figshare/.github at main · UAL-RE/ldcoolp-figshare,5,1
2021-11-16,/UAL-RE/ldcoolp-figshare/blob/main/.github/workflows/pypi-publish.yml,ldcoolp-figshare/pypi-publish.yml at main · UAL-RE/ldcoolp-figshare,4,1
2021-11-16,/UAL-RE/ldcoolp-figshare/blob/main/ldcoolp_figshare/main.py,ldcoolp-figshare/main.py at main · UAL-RE/ldcoolp-figshare,4,1
2021-11-16,/UAL-RE/ldcoolp-figshare/blob/main/docs/make.bat,ldcoolp-figshare/make.bat at main · UAL-RE/ldcoolp-figshare,2,1
2021-11-16,/UAL-RE/ldcoolp-figshare/blob/main/.gitignore,ldcoolp-figshare/.gitignore at main · UAL-RE/ldcoolp-figshare,2,1
2021-11-16,/UAL-RE/redata-iac/pulls,Pull requests · UAL-RE/redata-iac,11,3
2021-11-16,/UAL-RE/redata-iac/pull/41,add scripts to configure RDP droplet by zoidy · Pull Request #41 · UAL-RE/red...,9,4
2021-11-16,/UAL-RE/redata-iac,UAL-RE/redata-iac: Infrastructure as Code (IaC) resources for ReDATA,8,2
2021-11-16,/UAL-RE/redata-iac/issues,Issues · UAL-RE/redata-iac,4,3
2021-11-16,/UAL-RE/redata-iac/pull/41/commits/19ce727fa4c8a09ddb6e8ac3bb709e047d6327d8,add scripts to configure RDP droplet by zoidy · Pull Request #41 · UAL-RE/red...,2,2
2021-11-16,/UAL-RE/redata-iac/issues/11,Ansible script for RDP Droplet · Issue #11 · UAL-RE/redata-iac · GitHub,2,1
2021-11-16,/UAL-RE/redata-iac/pull/20,Droplet for Curation via XRDP by zoidy · Pull Request #20 · UAL-RE/redata-iac,2,1
2021-11-16,/UAL-RE/redata-iac/pull/41/files,add scripts to configure RDP droplet by zoidy · Pull Request #41 · UAL-RE/red...,2,1
2021-11-16,/UAL-RE/redata-iac/commit/be5167734eb3374e00e308de82945e8cc08cf82c,Update ansible/bashrc_ldcoolp_alias_setup.yml · UAL-RE/redata-iac@be51677 · G...,1,1
2021-11-16,/UAL-RE/redata-iac/commits/master,Commits · UAL-RE/redata-iac · GitHub,1,1
2021-11-16,/UAL-RE/redata-meta-redirect,UAL-RE/redata-meta-redirect: Redirect to main ReDATA site,1,1
2021-11-16,/UAL-RE/redata-meta-redirect/blob/main/index.html,redata-meta-redirect/index.html at main · UAL-RE/redata-meta-redirect,1,1
2021-11-16,/UAL-RE/ReM/blob/61aed9b92ecfdd983fd1d05d01bb95c5b5532286/main.py,ReM/main.py at 61aed9b92ecfdd983fd1d05d01bb95c5b5532286 · UAL-RE/ReM · GitHub,4,4
2021-11-16,/UAL-RE/ReM/blob/61aed9b92ecfdd983fd1d05d01bb95c5b5532286/readme_tool/figshare.py,ReM/figshare.py at 61aed9b92ecfdd983fd1d05d01bb95c5b5532286 · UAL-RE/ReM · Gi...,4,4
2021-11-16,/UAL-RE/ReM,UAL-RE/ReM: A Python web UI built on FastAPI to gather metadata to construct ...,3,3
2021-11-16,/UAL-RE/ReM/tree/main/readme_tool,ReM/readme_tool at main · UAL-RE/ReM · GitHub,2,2
2021-11-16,/ual-re/rem,UAL-RE/ReM: A Python web UI built on FastAPI to gather metadata to construct ...,1,1
2021-11-16,/UAL-RE/ReM/blob/main/main.py,ReM/main.py at main · UAL-RE/ReM,1,1
2021-11-16,/UAL-RE/ReM/blob/main/readme_tool/figshare.py,ReM/figshare.py at main · UAL-RE/ReM,1,1
2021-11-16,/UAL-RE/ReM/blob/main/readme_tool/intake_form.py,ReM/intake_form.py at main · UAL-RE/ReM,1,1
2021-11-16,/UAL-RE/ReM/blob/main/requirements.txt,ReM/requirements.txt at main · UAL-RE/ReM · GitHub,1,1
2021-11-16,/UAL-RE/ReM/blob/main/setup.py,ReM/setup.py at main · UAL-RE/ReM,1,1
2021-11-16,/UAL-RE/ReQUIAM/issues,Issues · UAL-RE/ReQUIAM,17,1
2021-11-16,/UAL-RE/ReQUIAM,UAL-RE/ReQUIAM: Identity and Access Management backend software for UA Resear...,8,1
2021-11-16,/UAL-RE/ReQUIAM/issues/71,Script to check Grouper-EDS sync · Issue #71 · UAL-RE/ReQUIAM · GitHub,3,3
2021-11-16,/UAL-RE/ReQUIAM/issues/116,Migration and testing for Grouper v2.5 · Issue #116 · UAL-RE/ReQUIAM · GitHub,2,2
2021-11-16,/UAL-RE/ReQUIAM/issues/18,script_run: --test flag for quick Grouper synchronization · Issue #18 · UAL-R...,2,1
2021-11-16,/UAL-RE/ReQUIAM/pull/61,release/v0.12.0 by astrochun · Pull Request #61 · UAL-RE/ReQUIAM,1,1
2021-11-16,/UAL-RE/ReQUIAM/tree/master/config,ReQUIAM/config at master · UAL-RE/ReQUIAM,1,1
2021-11-16,/UAL-RE/ReQUIAM/tree/master/requiam,ReQUIAM/requiam at master · UAL-RE/ReQUIAM,1,1
2021-11-16,/UAL-RE/ReQUIAM/tree/master/scripts,ReQUIAM/scripts at master · UAL-RE/ReQUIAM,1,1
2021-11-16,/UAL-RE/ReQUIAM_csv,UAL-RE/ReQUIAM_csv: Construct list of research themes and organization mappin...,14,3
2021-11-16,/UAL-RE/ReQUIAM_csv/pulls,Pull requests · UAL-RE/ReQUIAM_csv,5,1
2021-11-16,/UAL-RE/ReQUIAM_csv/issues/37,CSV updates · Issue #37 · UAL-RE/ReQUIAM_csv,4,2
2021-11-16,/UAL-RE/ReQUIAM_csv/tree/master/requiam_csv/data,ReQUIAM_csv/requiam_csv/data at master · UAL-RE/ReQUIAM_csv,4,2
2021-11-16,/UAL-RE/ReQUIAM_csv/compare/develop,Comparing master...develop · UAL-RE/ReQUIAM_csv,4,1
2021-11-16,/UAL-RE/ReQUIAM_csv/issues,Issues · UAL-RE/ReQUIAM_csv,3,2
2021-11-16,/UAL-RE/ReQUIAM_csv/tree/develop/requiam_csv/data,ReQUIAM_csv/requiam_csv/data at develop · UAL-RE/ReQUIAM_csv,3,1
2021-11-16,/UAL-RE/ReQUIAM_csv/commit/ac897392ea09c5c69e5cdb184bb3cfe579b7b64d,Updates to CSV file (iss #37) · UAL-RE/ReQUIAM_csv@ac89739 · GitHub,2,2
2021-11-16,/UAL-RE/ReQUIAM_csv/pull/82,Develop to merge to master by yhan818 · Pull Request #82 · UAL-RE/ReQUIAM_csv,2,2
2021-11-16,/UAL-RE/ReQUIAM_csv/pull/82/commits/fbbc3dc375bd8e82cd96318f8aa580555a17c7e4,Develop to merge to master by yhan818 · Pull Request #82 · UAL-RE/ReQUIAM_csv,2,2
2021-11-16,/UAL-RE/uptime/issues/105,🛑 Data Cooperative Site is down · Issue #105 · UAL-RE/uptime,1,1
