repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,6,3
data-service-landscape-scan,Google,1,1
figstats,Bing,1,1
github-stats,github.com,3,2
LD-Cool-P,github.com,6,3
LD-Cool-P,Google,5,2
LD-Cool-P,DuckDuckGo,1,1
ldcoolp-figshare,Google,2,1
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,1,1
ldcoolp-figshare,github.com,1,1
ReBACH,github.com,1,1
ReM,gist.github.com,7,4
ReM,github.com,2,2
ReQUIAM,github.com,7,3
ReQUIAM,Google,1,1
uptime,ual-re.github.io,3,1
uptime,github.com,1,1
