repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,1,1
data-viz-challenge,github.com,1,1
data-viz-evaluations,github.com,3,2
github-stats,github.com,5,2
LD-Cool-P,github.com,49,3
LD-Cool-P,Google,10,5
LD-Cool-P,DuckDuckGo,1,1
ldcoolp-figshare,github.com,8,1
ldcoolp-figshare,Google,1,1
ReBACH,github.com,33,3
redata-commons,github.com,1,1
redata-docs,readthedocs.org,2,1
redata-docs,redata.readthedocs.io,1,1
redata-iac,github.com,37,2
ReQUIAM,github.com,10,2
ReQUIAM,Google,2,2
ReQUIAM_csv,github.com,6,2
