repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2021-04-14,1,1
data-viz-challenge,2021-04-12,2,2
data-viz-evaluations,2021-04-07,3,2
data-viz-evaluations,2021-04-08,3,3
data-viz-evaluations,2021-04-11,1,1
data-viz-evaluations,2021-04-17,1,1
redata-commons,2021-04-04,1,1
redata-commons,2021-04-05,26,9
redata-commons,2021-04-07,3,3
redata-commons,2021-04-09,1,1
redata-commons,2021-04-11,1,1
redata-commons,2021-04-14,19,3
redata-commons,2021-04-15,18,8
redata-commons,2021-04-16,1,1
ReM,2021-04-05,1,1
ReQUIAM,2021-04-12,17,3
ReQUIAM,2021-04-14,19,3
ReQUIAM,2021-04-15,1,1
ReQUIAM_csv,2021-04-04,1,1
ReQUIAM_csv,2021-04-07,15,4
uptime,2021-04-04,57,3
uptime,2021-04-05,71,3
uptime,2021-04-06,74,4
uptime,2021-04-07,71,3
uptime,2021-04-08,71,3
uptime,2021-04-09,82,7
uptime,2021-04-10,82,5
uptime,2021-04-11,79,4
uptime,2021-04-12,78,6
uptime,2021-04-13,78,6
uptime,2021-04-14,84,6
uptime,2021-04-15,81,6
uptime,2021-04-16,78,4
uptime,2021-04-17,82,4
uptime,2021-04-18,19,6
