repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,2,2
data-viz-challenge,github.com,2,1
data-viz-evaluations,github.com,1,1
figstats,github.com,8,1
github-stats,github.com,2,1
LD-Cool-P,github.com,4,1
LD-Cool-P,redata.readthedocs.io,2,2
LD-Cool-P,Google,1,1
ldcoolp-figshare,github.com,2,1
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,1,1
ReBACH,github.com,4,1
redata-commons,github.com,4,1
redata-docs,github.com,2,1
redata-iac,github.com,6,1
redata-iac,redata.readthedocs.io,1,1
ReM,github.com,6,1
ReM,gist.github.com,3,3
ReQUIAM,github.com,9,2
ReQUIAM,Google,1,1
ReQUIAM,teams.microsoft.com,1,1
ReQUIAM_csv,github.com,4,2
slacking,github.com,1,1
UAL-RE,github.com,2,1
uptime,github.com,3,1
