repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,4,2
github-stats,github.com,1,1
LD-Cool-P,github.com,11,3
LD-Cool-P,Google,3,3
ldcoolp-figshare,github.com,9,4
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,1,1
redata-commons,redata-commons.readthedocs.io,9,3
redata-commons,pypi.org,6,1
redata-commons,Google,3,1
redata-commons,github.com,2,2
redata-docs,github.com,1,1
ReDATA_README_Tool,github.com,5,5
ReQUIAM,github.com,6,2
ReQUIAM,Google,1,1
ReQUIAM_csv,Google,1,1
