repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,1,1
data-viz-challenge,github.com,1,1
data-viz-evaluations,github.com,3,2
github-stats,github.com,3,1
LD-Cool-P,github.com,42,3
LD-Cool-P,Google,9,6
LD-Cool-P,figshare.com,1,1
ReBACH,github.com,10,3
redata-docs,readthedocs.org,2,1
redata-docs,redata.readthedocs.io,1,1
redata-iac,github.com,38,3
redata-landing-page,github.com,1,1
ReQUIAM,github.com,9,4
ReQUIAM,Google,5,4
ReQUIAM,redata.readthedocs.io,1,1
ReQUIAM_csv,Bing,1,1
uptime,github.com,1,1
