repository_name,site,views,unique_visitors/cloners
LD-Cool-P,github.com,33,2
LD-Cool-P,Google,9,2
ldcoolp-figshare,github.com,33,1
ldcoolp-figshare,Google,4,2
ReBACH,Google,9,4
ReBACH,github.com,2,1
redata-commons,github.com,96,1
redata-commons,readthedocs.org,6,1
redata-docs,github.com,3,1
redata-iac,github.com,1,1
ReQUIAM,github.com,101,2
ReQUIAM,requiam.readthedocs.io,2,1
ReQUIAM,redata-commons.readthedocs.io,1,1
ReQUIAM_csv,github.com,93,1
ReQUIAM_csv,requiam-csv.readthedocs.io,2,1
