repository_name,date,clones,unique_visitors/cloners
data-viz-evaluations,2022-02-04,1,1
github-stats,2022-02-02,3,2
github-stats,2022-02-03,8,5
github-stats,2022-02-04,6,4
github-stats,2022-02-05,8,5
github-stats,2022-02-06,6,4
github-stats,2022-02-07,5,4
github-stats,2022-02-08,4,3
github-stats,2022-02-09,5,4
github-stats,2022-02-10,5,4
github-stats,2022-02-11,4,3
github-stats,2022-02-12,5,4
github-stats,2022-02-13,6,4
github-stats,2022-02-14,4,3
github-stats,2022-02-15,9,4
github-stats,2022-02-16,1,1
LD-Cool-P,2022-02-15,3,3
ReBACH,2022-02-12,1,1
redata-docs,2022-02-12,1,1
ReM,2022-02-12,1,1
ReQUIAM,2022-02-06,1,1
ReQUIAM,2022-02-15,3,3
ReQUIAM_csv,2022-02-14,1,1
ReQUIAM_csv,2022-02-15,1,1
uptime,2022-02-02,94,4
uptime,2022-02-03,127,6
uptime,2022-02-04,142,6
uptime,2022-02-05,139,6
uptime,2022-02-06,126,5
uptime,2022-02-07,116,3
uptime,2022-02-08,117,4
uptime,2022-02-09,118,4
uptime,2022-02-10,119,4
uptime,2022-02-11,119,3
uptime,2022-02-12,120,3
uptime,2022-02-13,126,6
uptime,2022-02-14,120,5
uptime,2022-02-15,122,6
uptime,2022-02-16,20,3
