repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2021-09-29,1,1
data-service-landscape-scan,2021-09-30,1,1
data-service-landscape-scan,2021-10-01,1,1
data-viz-challenge,2021-09-19,1,1
figstats,2021-09-18,1,1
github-stats,2021-09-18,1,1
github-stats,2021-09-19,4,4
github-stats,2021-09-20,4,4
github-stats,2021-09-21,5,5
github-stats,2021-09-22,5,5
github-stats,2021-09-23,4,4
github-stats,2021-09-24,4,4
github-stats,2021-09-25,4,4
github-stats,2021-09-26,4,4
github-stats,2021-09-27,4,4
github-stats,2021-09-28,4,4
github-stats,2021-09-29,4,4
github-stats,2021-09-30,5,5
github-stats,2021-10-01,6,5
LD-Cool-P,2021-09-20,1,1
LD-Cool-P,2021-09-23,1,1
LD-Cool-P,2021-09-26,1,1
LD-Cool-P,2021-09-27,1,1
LD-Cool-P,2021-09-28,1,1
ldcoolp-figshare,2021-09-18,1,1
ReBACH,2021-09-22,1,1
