repository_name,date,views,unique_visitors/cloners
figstats,2022-01-26,1,1
figstats,2022-02-02,1,1
LD-Cool-P,2022-01-26,13,1
LD-Cool-P,2022-01-27,1,1
LD-Cool-P,2022-01-29,14,2
LD-Cool-P,2022-02-01,1,1
LD-Cool-P,2022-02-03,1,1
LD-Cool-P,2022-02-04,1,1
LD-Cool-P,2022-02-05,5,1
LD-Cool-P,2022-02-07,6,2
LD-Cool-P,2022-02-08,1,1
ldcoolp-figshare,2022-02-05,1,1
redata-commons,2022-02-07,13,1
ReM,2022-01-26,1,1
ReM,2022-01-27,5,2
ReM,2022-01-28,7,1
ReM,2022-01-29,1,1
ReM,2022-02-04,1,1
ReM,2022-02-06,24,1
ReM,2022-02-07,1,1
ReM,2022-02-08,1,1
ReM,2022-02-09,2,1
ReQUIAM,2022-01-27,4,1
ReQUIAM,2022-01-29,4,1
ReQUIAM_csv,2022-01-30,1,1
