repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2023-03-17,6,5
data-service-landscape-scan,2023-03-20,1,1
figstats,2023-03-18,2,2
figstats,2023-03-20,1,1
github-stats,2023-03-13,1,1
github-stats,2023-03-14,5,3
github-stats,2023-03-15,5,3
github-stats,2023-03-16,5,3
github-stats,2023-03-17,5,3
github-stats,2023-03-18,7,4
github-stats,2023-03-19,5,3
github-stats,2023-03-20,6,4
github-stats,2023-03-21,5,3
github-stats,2023-03-22,5,3
github-stats,2023-03-23,5,3
github-stats,2023-03-24,5,3
github-stats,2023-03-25,6,4
github-stats,2023-03-26,5,3
LD-Cool-P,2023-03-19,1,1
LD-Cool-P,2023-03-23,1,1
ldcoolp-figshare,2023-03-18,1,1
ldcoolp-figshare,2023-03-26,1,1
ReBACH,2023-03-23,1,1
redata-commons,2023-03-18,3,3
redata-commons,2023-03-20,1,1
redata-commons,2023-03-21,2,1
