repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,6,3
data-service-landscape-scan,Google,1,1
data-viz-challenge,Google,2,1
figstats,Bing,1,1
github-stats,github.com,2,1
LD-Cool-P,Google,12,3
LD-Cool-P,github.com,4,3
LD-Cool-P,DuckDuckGo,1,1
ldcoolp-figshare,Google,3,1
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,2,1
ReBACH,github.com,1,1
ReM,gist.github.com,9,5
ReM,github.com,1,1
ReQUIAM,github.com,7,3
ReQUIAM,Google,2,2
uptime,ual-re.github.io,3,1
uptime,github.com,1,1
