repository_name,site,views,unique_visitors/cloners
LD-Cool-P,github.com,71,2
LD-Cool-P,Google,14,4
ldcoolp-figshare,github.com,32,1
ldcoolp-figshare,Google,4,2
ldcoolp-figshare,pypi.org,1,1
ReBACH,Google,6,2
redata-commons,github.com,87,1
redata-commons,pypi.org,8,1
redata-commons,readthedocs.org,5,1
redata-docs,github.com,11,1
redata-iac,github.com,1,1
ReQUIAM,github.com,170,3
ReQUIAM,requiam.readthedocs.io,1,1
ReQUIAM,redata-commons.readthedocs.io,1,1
ReQUIAM_csv,github.com,3,1
