repository_name,date,views,unique_visitors/cloners
figstats,2021-10-01,2,1
LD-Cool-P,2021-09-24,1,1
LD-Cool-P,2021-09-25,1,1
LD-Cool-P,2021-09-27,5,2
LD-Cool-P,2021-09-28,2,2
LD-Cool-P,2021-09-29,8,1
LD-Cool-P,2021-10-04,2,1
LD-Cool-P,2021-10-05,2,2
LD-Cool-P,2021-10-06,1,1
LD-Cool-P,2021-10-07,1,1
ldcoolp-figshare,2021-09-27,3,1
ldcoolp-figshare,2021-09-28,2,2
ldcoolp-figshare,2021-09-30,1,1
ldcoolp-figshare,2021-10-06,1,1
redata-iac,2021-09-24,1,1
ReM,2021-09-24,2,1
ReM,2021-09-26,2,1
ReM,2021-09-27,3,1
ReM,2021-09-28,2,1
ReM,2021-09-29,2,1
ReM,2021-10-03,1,1
ReM,2021-10-05,4,2
ReM,2021-10-06,1,1
ReQUIAM,2021-09-28,20,3
ReQUIAM,2021-09-29,5,1
ReQUIAM,2021-10-04,1,1
ReQUIAM,2021-10-06,15,2
ReQUIAM_csv,2021-10-04,3,2
uptime,2021-10-04,11,2
uptime,2021-10-05,1,1
