repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,3,2
data-viz-challenge,github.com,5,1
data-viz-challenge,Google,1,1
data-viz-evaluations,github.com,4,1
figstats,github.com,1,1
github-stats,github.com,3,1
LD-Cool-P,github.com,8,2
LD-Cool-P,Google,6,5
LD-Cool-P,knowledge.figshare.com,1,1
ldcoolp-figshare,github.com,2,1
ReBACH,github.com,1,1
redata-commons,github.com,1,1
redata-iac,github.com,3,2
ReDATA_README_Tool,gist.github.com,5,3
ReDATA_README_Tool,github.com,3,1
ReQUIAM_csv,github.com,4,1
slacking,github.com,1,1
uptime,Google,1,1
