repository_name,site,views,unique_visitors/cloners
github-stats,github.com,1,1
LD-Cool-P,Google,13,4
LD-Cool-P,redata.readthedocs.io,7,1
LD-Cool-P,github.com,1,1
ldcoolp-figshare,github.com,3,1
ldcoolp-figshare,redata.readthedocs.io,2,1
ldcoolp-figshare,pypi.org,2,1
ReBACH,redata.readthedocs.io,1,1
redata-commons,github.com,45,2
redata-commons,redata-commons.readthedocs.io,7,1
redata-docs,github.com,37,2
redata-docs,redata.readthedocs.io,2,1
redata-iac,github.com,3,1
ReQUIAM,redata.readthedocs.io,6,1
ReQUIAM,github.com,5,2
ReQUIAM,requiam.readthedocs.io,1,1
ReQUIAM_csv,redata.readthedocs.io,7,1
uptime,github.com,1,1
