repository_name,date,clones,unique_visitors/cloners
ReDATA_README_Tool,2021-05-11,20,3
ReDATA_README_Tool,2021-05-12,8,3
ReDATA_README_Tool,2021-05-13,48,5
ReDATA_README_Tool,2021-05-15,1,1
ReDATA_README_Tool,2021-05-17,2,2
ReDATA_README_Tool,2021-05-18,1,1
ReQUIAM,2021-05-13,1,1
ReQUIAM,2021-05-21,1,1
ReQUIAM_csv,2021-05-11,1,1
UAL-ODIS,2021-05-13,1,1
uptime,2021-05-11,60,4
uptime,2021-05-12,71,4
uptime,2021-05-13,72,6
uptime,2021-05-14,72,6
uptime,2021-05-15,78,8
uptime,2021-05-16,73,8
uptime,2021-05-17,74,9
uptime,2021-05-18,76,11
uptime,2021-05-19,74,8
uptime,2021-05-20,74,7
uptime,2021-05-21,72,7
uptime,2021-05-22,75,10
uptime,2021-05-23,74,8
uptime,2021-05-24,67,9
uptime,2021-05-25,14,6
